Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 9, Price: $15.00, Est. Price: $21.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11212033411&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 213, Row: 9, Price: $15.00, Est. Price: $21.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11212033511&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 212, Row: 9, Price: $15.00, Est. Price: $21.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11212033371&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 9, Price: $15.00, Est. Price: $21.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10452543736&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 211, Row: 7, Price: $15.00, Est. Price: $21.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11495005569&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 6, Price: $15.00, Est. Price: $21.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11665351397&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 209, Row: 8, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11212033516&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 223, Row: 5, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11212033487&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 4, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11212033348&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 4, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11212033496&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 227, Row: 7, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11495005571&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 227, Row: 8, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10430795976&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 2, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11664913030&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 10, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10374471296&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 206, Row: 9, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10825944962&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 9, Price: $17.00, Est. Price: $23.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10825944949&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 206, Row: 7, Price: $17.00, Est. Price: $23.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10563898254&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 223, Row: 8, Price: $17.00, Est. Price: $23.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11256089591&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 7, Price: $17.00, Est. Price: $23.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11425863918&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 10, Price: $17.00, Est. Price: $23.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10405494434&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 211, Row: 6, Price: $17.00, Est. Price: $23.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10386748832&groupId=&qty=2
