Section: 221, Row: 10, Price: $65 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 218, Row: 14, Price: $60 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 222, Row: 8, Price: $71 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 231, Row: 14, Price: $49 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 220, Row: 5, Price: $81 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 213, Row: 9, Price: $56 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 229, Row: 9, Price: $56 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 206, Row: 10, Price: $62 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 111, Row: 19, Price: $160 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 226, Row: 12, Price: $42 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 225, Row: 14, Price: $42 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 229, Row: 14, Price: $42 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
