Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 217, Row: 7, Price: $29, Est. Price: $29, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 219, Row: 14, Price: $26, Est. Price: $26, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 203, Row: 14, Price: $26, Est. Price: $26, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 6, Price: $25, Est. Price: $25, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 202, Row: 7, Price: $31, Est. Price: $31, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 219, Row: 12, Price: $28, Est. Price: $28, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 5, Price: $26, Est. Price: $26, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 218, Row: 15, Price: $23, Est. Price: $23, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 3, Price: $28, Est. Price: $28, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 201, Row: 7, Price: $30, Est. Price: $30, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 204, Row: 11, Price: $28, Est. Price: $28, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 211, Row: 10, Price: $16, Est. Price: $16, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
