Section: 219, Row: 13, Price: $43 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 212, Row: 9, Price: $31 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 210, Row: 9, Price: $31 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 224, Row: 4, Price: $43 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 216, Row: 9, Price: $45 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 212, Row: 10, Price: $30 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 230, Row: 8, Price: $38 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 211, Row: 11, Price: $24 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 219, Row: 14, Price: $43 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 223, Row: 4, Price: $47 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 222, Row: 8, Price: $48 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 224, Row: 7, Price: $40 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 203, Row: 11, Price: $48 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 231, Row: 10, Price: $39 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 224, Row: 6, Price: $42 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 212, Row: 7, Price: $35 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 203, Row: 15, Price: $41 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 222, Row: 13, Price: $39 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 206, Row: 12, Price: $40 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 232, Row: 14, Price: $37 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 201, Row: 6, Price: $52 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 202, Row: 6, Price: $56 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 228, Row: 6, Price: $38 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 230, Row: 10, Price: $39 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 210, Row: 8, Price: $36 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 215, Row: 12, Price: $39 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 216, Row: 14, Price: $39 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 232, Row: 14, Price: $39 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 226, Row: 4, Price: $42 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 210, Row: 9, Price: $35 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 213, Row: 12, Price: $35 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 223, Row: 6, Price: $49 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 226, Row: 5, Price: $41 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 228, Row: 10, Price: $34 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 211, Row: 6, Price: $35 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 223, Row: 7, Price: $48 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 212, Row: 9, Price: $36 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 204, Row: 14, Price: $46 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
