Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 210, Row: 9, Price: $34.00, Est. Price: $47.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10875979444&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 215, Row: 6, Price: $34.00, Est. Price: $47.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10386747308&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 206, Row: 14, Price: $34.00, Est. Price: $47.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10369826347&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 216, Row: 14, Price: $34.00, Est. Price: $47.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10369826348&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 222, Row: 13, Price: $34.00, Est. Price: $47.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10370136979&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 232, Row: 13, Price: $34.00, Est. Price: $47.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11782228954&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 232, Row: 14, Price: $34.00, Est. Price: $47.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11713206282&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 205, Row: 9, Price: $35.00, Est. Price: $49.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11759024735&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 226, Row: 11, Price: $35.00, Est. Price: $49.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11164402789&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 212, Row: 10, Price: $35.00, Est. Price: $49.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11688838615&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 215, Row: 6, Price: $35.00, Est. Price: $49.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10386748761&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 222, Row: 13, Price: $35.00, Est. Price: $49.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10381876833&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 213, Row: 7, Price: $35.00, Est. Price: $49.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11622682017&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 213, Row: 12, Price: $35.00, Est. Price: $49.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11721998810&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 217, Row: 14, Price: $36.00, Est. Price: $50.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11781318308&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 230, Row: 7, Price: $36.00, Est. Price: $50.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11425863923&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 230, Row: 6, Price: $36.00, Est. Price: $50.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10386748934&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 212, Row: 11, Price: $36.00, Est. Price: $50.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10397861474&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 211, Row: 6, Price: $36.00, Est. Price: $50.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10875979445&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 215, Row: 8, Price: $36.00, Est. Price: $50.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10397859977&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 215, Row: 5, Price: $36.00, Est. Price: $50.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10386748533&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 209, Row: 13, Price: $36.00, Est. Price: $50.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10375522177&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 228, Row: 10, Price: $37.00, Est. Price: $51.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10371425374&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 228, Row: 5, Price: $37.00, Est. Price: $51.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10386748982&groupId=&qty=2
