Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 301, Row: 5, Price: $57, Est. Price: $91.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8799653430
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 319, Row: 12, Price: $58, Est. Price: $92.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8861422577
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 316, Row: 18, Price: $58, Est. Price: $92.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8798547481
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 107, Row: 39, Price: $58, Est. Price: $92.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8859072058
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 140, Row: 20, Price: $58, Est. Price: $92.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8869969648
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 140, Row: 29, Price: $58, Est. Price: $92.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8851642057
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 328, Row: 10, Price: $58, Est. Price: $92.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8810853541
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 108, Row: 35, Price: $58, Est. Price: $92.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8800202241
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 106, Row: 35, Price: $59, Est. Price: $94.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8800214853
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 143, Row: 22, Price: $59, Est. Price: $94.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8866391450
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 323, Row: 13, Price: $60, Est. Price: $96.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8812490764
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 105, Row: 35, Price: $60, Est. Price: $96.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8800259218
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 328, Row: 9, Price: $60, Est. Price: $96.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8798916329
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 308, Row: 12, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8812488941
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 301, Row: 4, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8800309498
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 138, Row: 38, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8827972085
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 301, Row: 2, Price: $62, Est. Price: $89.90, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8800309798
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 105, Row: 32, Price: $62, Est. Price: $89.90, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8800259214
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 325, Row: 13, Price: $62, Est. Price: $89.90, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8785036246
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 331, Row: 3, Price: $62, Est. Price: $89.90, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8867677049
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 142, Row: 26, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8866931550
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 107, Row: 32, Price: $64, Est. Price: $92.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8841826548
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 107, Row: 37, Price: $64, Est. Price: $92.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8841826489
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 327, Row: 10, Price: $64, Est. Price: $92.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8829799182
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 108, Row: 27, Price: $65, Est. Price: $94.25, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8607378210
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 108, Row: 24, Price: $66, Est. Price: $95.70, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8607195898
