Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 111, Row: 19, Price: $88, Est. Price: $127.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8639555215
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 110, Row: 18, Price: $88, Est. Price: $127.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8625558966
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 107, Row: 16, Price: $88, Est. Price: $127.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8637386623
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 118, Row: 17, Price: $93, Est. Price: $134.85, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8454508685
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 122, Row: 12, Price: $95, Est. Price: $137.75, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8639553299
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 121, Row: 17, Price: $95, Est. Price: $137.75, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8675319954
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 104, Row: 25, Price: $95, Est. Price: $137.75, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8652315383
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 221, Row: 6, Price: $97, Est. Price: $140.65, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8577501458
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 118, Row: 15, Price: $99, Est. Price: $143.55, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8454508872
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 119, Row: 17, Price: $99, Est. Price: $143.55, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8454509109
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 116, Row: 26, Price: $100, Est. Price: $145.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8449130258
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 116, Row: 28, Price: $100, Est. Price: $145.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7804325890
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 112, Row: 26, Price: $100, Est. Price: $145.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8639552656
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 104, Row: 17, Price: $101, Est. Price: $146.45, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8505916586
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 115, Row: 25, Price: $102, Est. Price: $147.90, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8597663751
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 218, Row: 3, Price: $103, Est. Price: $149.35, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8688722534
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 113, Row: 27, Price: $105, Est. Price: $152.25, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8639555237
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 124, Row: 21, Price: $106, Est. Price: $153.70, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8639553361
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 105, Row: 16, Price: $106, Est. Price: $153.70, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8639552309
