Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 205, Row: 8, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988505
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 205, Row: 9, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7807548352
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 217, Row: 8, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7807562902
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 212, Row: 2, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7809313130
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 219, Row: 14, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7847224797
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 2, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7809314036
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 218, Row: 12, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7807548271
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 218, Row: 5, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988554
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 220, Row: 11, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8402029101
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 220, Row: 5, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988498
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 209, Row: 7, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8005094386
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 227, Row: 9, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7817016784
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 203, Row: 14, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7807548166
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 202, Row: 7, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8423383408
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 201, Row: 5, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8550727220
