Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 222, Row: 11, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925679
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 224, Row: 14, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8223598922
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 206, Row: 11, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925684
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 210, Row: 4, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7809314392
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 215, Row: 9, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925754
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 210, Row: 11, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8369755692
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 221, Row: 6, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8484825927
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 224, Row: 8, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8271080964
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 229, Row: 12, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7818205355
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 224, Row: 3, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7809313497
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 201, Row: 12, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8704049870
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 221, Row: 12, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925698
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 228, Row: 8, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8666943674
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 205, Row: 14, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8706127296
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 231, Row: 3, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7809313250
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 225, Row: 8, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925641
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 229, Row: 9, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8595691851
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 212, Row: 7, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925656
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 212, Row: 2, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7809313137
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 206, Row: 10, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8639554548
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 221, Row: 5, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8422687389
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 226, Row: 2, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7809313154
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 232, Row: 8, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8595705661
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 231, Row: 6, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8595705671
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 206, Row: 10, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925803
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 216, Row: 10, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925811
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 226, Row: 10, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7818205395
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 207, Row: 8, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925767
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 230, Row: 2, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8406609898
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 220, Row: 14, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8484826028
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 205, Row: 8, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8707792157
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 202, Row: 13, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8698378936
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 201, Row: 10, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8687405244
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 221, Row: 10, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8706144237
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 204, Row: 13, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7804325913
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 217, Row: 9, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8595697823
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 227, Row: 10, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7818205304
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 217, Row: 10, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8595697859
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 205, Row: 10, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8223611241
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 215, Row: 14, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8069913865
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 218, Row: 8, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8454509090
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 212, Row: 4, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7804326062
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 201, Row: 9, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7843469273
