Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 206, Row: 10, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858885
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 207, Row: 9, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858799
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 214, Row: 7, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867327667
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 215, Row: 9, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326152
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 207, Row: 10, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858809
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 214, Row: 8, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867327739
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 215, Row: 10, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326182
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 213, Row: 10, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326910
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 214, Row: 9, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867327760
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 209, Row: 10, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865859106
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 213, Row: 11, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326507
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 214, Row: 10, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867327844
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 209, Row: 11, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858971
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 213, Row: 12, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326534
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 209, Row: 12, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858966
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 213, Row: 13, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326564
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 209, Row: 13, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858887
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 213, Row: 14, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326593
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 209, Row: 14, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858930
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 221, Row: 11, Price: $75, Est. Price: $108.75, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8864406725
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 208, Row: 6, Price: $76, Est. Price: $110.2, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867328767
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 204, Row: 3, Price: $80, Est. Price: $116, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326209
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 218, Row: 3, Price: $80, Est. Price: $116, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867328682
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 204, Row: 4, Price: $80, Est. Price: $116, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865859842
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 219, Row: 8, Price: $80, Est. Price: $116, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326678
