Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 228, Row: 13, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8249703426
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 232, Row: 6, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8531889009
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 222, Row: 7, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8271083289
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 205, Row: 9, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8271083239
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 230, Row: 12, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8687532327
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 230, Row: 13, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7853443327
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 215, Row: 10, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7805658572
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 206, Row: 11, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7804326452
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 213, Row: 7, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8390830845
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 229, Row: 12, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7853443284
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 210, Row: 7, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7810598826
