Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 204, Row: 5, Price: $219.00, Est. Price: $219.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/67bd349d2f94efc8107a82d8?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 218, Row: 4, Price: $219.00, Est. Price: $219.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/67bd349d2f94efc8107a82e1?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 109, Row: 18, Price: $220.00, Est. Price: $220.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/67b7683b2f94efc810cb6832?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 115, Row: 28, Price: $220.00, Est. Price: $220.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/679d1ff4f6af5e52e463f9b9?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 108, Row: 21, Price: $223.00, Est. Price: $223.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/67a6a2163e2207e70b3c3d76?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 103, Row: 24, Price: $225.00, Est. Price: $225.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/67992dcb26a9cb75c5fd4509?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 109, Row: 23, Price: $237.00, Est. Price: $237.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/67bd349d2f94efc8107a83d3?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 113, Row: 28, Price: $241.00, Est. Price: $241.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/67a0f6c7f6af5e52e4db72c2?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 116, Row: 25, Price: $245.00, Est. Price: $245.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/67bcff042f94efc81000354e?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 110, Row: 18, Price: $265.00, Est. Price: $265.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/679984e526a9cb75c5b30a81?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 105, Row: 13, Price: $283.00, Est. Price: $283.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/67a9e9953e2207e70beba02a?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 112, Row: 13, Price: $286.00, Est. Price: $286.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/67a9e9813e2207e70bea2310?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 110, Row: 13, Price: $286.00, Est. Price: $286.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/67ba669a2f94efc810824ba1?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 111, Row: 14, Price: $286.00, Est. Price: $286.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/67b2295e2f94efc8109ea5ac?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 106, Row: 13, Price: $286.00, Est. Price: $286.00, URL: https://gametime.co/concert/katy-perry-tickets/7-12-2025-phoenix-az-footprint-center/events/6797a2de3764023edb5dbdec/listings/67bc0bf12f94efc8104696df?queryId=dca40a891c51e4e7c3c90705859e4d6d&resultPosition=1&searchIndex=events&searchSessionId=5df2ad21-0483-4372-b576-28fddab97388
