Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 105, Row: 18, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67d48fbfdec8018c7685de0d
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 302, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67ca0ce9dec8018c76743a40
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 310, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67d6e0e7dec8018c7617ffa5
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 301, Row: 32, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67ca0cf0dec8018c767537e8
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 331, Row: 32, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67ca0d1fdec8018c7679e6d0
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 111, Row: 10, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67098b55f0923f9bcd0fc3e8
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 143, Row: 31, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/6764fda4b98988f2dbce65cd
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 102, Row: 39, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/6764fda4b98988f2dbce65c6
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 323, Row: 32, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67ca0d1fdec8018c7679f503
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 133, Row: 9, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67098b55f0923f9bcd0fc3ba
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 133, Row: 16, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/670ea0daf0923f9bcd9a0de0
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 138, Row: 27, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67d6e0e7dec8018c7617ff9f
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 139, Row: 22, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67ca01d3dec8018c7624a8dc
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 106, Row: 30, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67cb7281dec8018c761aaf6f
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 136, Row: 31, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67cf7e18dec8018c76c13d79
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 135, Row: 12, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67896def5f5eedb9b54414e7
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 110, Row: 10, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67896dee5f5eedb9b543ef97
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 134, Row: 3, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67098d34f0923f9bcd471d47
