Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 109, Row: 28, Price: $115, Est. Price: $166.75, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8687909194
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 210, Row: 2, Price: $115, Est. Price: $166.75, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8835103503
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 207, Row: 3, Price: $115, Est. Price: $166.75, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8835102205
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 211, Row: 11, Price: $117, Est. Price: $169.65, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8671554996
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 202, Row: 3, Price: $118, Est. Price: $171.10, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8817923959
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 111, Row: 28, Price: $119, Est. Price: $172.55, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8687909218
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 204, Row: 8, Price: $119, Est. Price: $172.55, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8664994508
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 110, Row: 28, Price: $121, Est. Price: $175.45, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8664466962
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 221, Row: 5, Price: $121, Est. Price: $175.45, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8807996225
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 221, Row: 6, Price: $121, Est. Price: $175.45, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723620078
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 221, Row: 7, Price: $121, Est. Price: $175.45, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723620045
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 204, Row: 7, Price: $121, Est. Price: $175.45, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8821473123
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 218, Row: 7, Price: $121, Est. Price: $175.45, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8753443715
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 217, Row: 6, Price: $121, Est. Price: $175.45, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723619622
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 217, Row: 7, Price: $121, Est. Price: $175.45, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723619701
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 214, Row: 1, Price: $122, Est. Price: $176.90, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8702408099
