Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 127, Row: 7, Price: $354.00, Est. Price: $354.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c742f94efc810119fe6?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 110, Row: 40, Price: $360.00, Est. Price: $360.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c742f94efc810119fba?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 128, Row: 18, Price: $363.00, Est. Price: $363.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00cb12f94efc8101649cf?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 129, Row: 31, Price: $364.00, Est. Price: $364.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00cb32f94efc81016778f?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 421, Row: 9, Price: $384.00, Est. Price: $384.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/678472415f5eedb9b598d452?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 451, Row: 9, Price: $384.00, Est. Price: $384.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/678472445f5eedb9b598e8b4?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 107, Row: 37, Price: $386.00, Est. Price: $386.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c742f94efc81011a051?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 129, Row: 40, Price: $392.00, Est. Price: $392.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c752f94efc81011abeb?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 110, Row: 33, Price: $395.00, Est. Price: $395.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c742f94efc81011a035?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 136, Row: 31, Price: $395.00, Est. Price: $395.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00cac2f94efc81015f4ba?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
