Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 131, Row: 29, Price: $329.00, Est. Price: $329.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c00c522f94efc8100f9410?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 452, Row: 19, Price: $329.00, Est. Price: $329.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/678470a15f5eedb9b580f2ca?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 422, Row: 19, Price: $329.00, Est. Price: $329.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/6784709f5f5eedb9b580dbbd?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 132, Row: 30, Price: $333.00, Est. Price: $333.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c9e579dec8018c76043f3e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 129, Row: 33, Price: $334.00, Est. Price: $334.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c9e570dec8018c76033852?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 443, Row: 5, Price: $335.00, Est. Price: $335.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67a374c6f6af5e52e42421f2?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 131, Row: 17, Price: $348.00, Est. Price: $348.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c00c522f94efc8100f93cd?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 127, Row: 19, Price: $349.00, Est. Price: $349.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c9e563dec8018c76020f1c?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 107, Row: 41, Price: $354.00, Est. Price: $354.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c00c522f94efc8100f9422?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 127, Row: 7, Price: $354.00, Est. Price: $354.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c00c522f94efc8100f94d7?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 110, Row: 40, Price: $360.00, Est. Price: $360.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c00c522f94efc8100f9473?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 128, Row: 18, Price: $372.00, Est. Price: $372.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c9e56edec8018c76030c25?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 421, Row: 9, Price: $384.00, Est. Price: $384.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/678470a15f5eedb9b580eb55?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
