Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 310, Row: 10, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d95c04dec8018c7673fb39
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 322, Row: 10, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d95b77dec8018c76604ec9
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 308, Row: 40, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67ca0d21dec8018c767a32ce
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 323, Row: 32, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67ca0d16dec8018c7678f388
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 305, Row: 40, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67ca0d2fdec8018c767bace7
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 309, Row: 32, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67ca0d24dec8018c767a7d12
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 325, Row: 40, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67ca0d0fdec8018c767835bb
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 134, Row: 3, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/677b341bb98988f2db71d8de
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 111, Row: 5, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/677b32feb98988f2db5eb55d
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 215, Row: 4, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d48fbadec8018c76851eb4
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 138, Row: 35, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d95b79dec8018c766080b4
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 106, Row: 30, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d95b7cdec8018c7660e1bc
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 109, Row: 28, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67a68c2b3e2207e70b34e997
