Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 312, Row: 32, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67ca1306dec8018c760c801d
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 317, Row: 32, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67ca1313dec8018c760df981
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 310, Row: 32, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67ca12e1dec8018c7607eea4
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 316, Row: 32, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67ca128bdec8018c76fd7243
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 322, Row: 32, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67ca1307dec8018c760c8904
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 111, Row: 10, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67b4f0082f94efc810a7a5f8
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 319, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67ca1298dec8018c76ff11fe
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 320, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67ca130fdec8018c760d8099
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 133, Row: 9, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67b4f06a2f94efc810b2d0a5
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 321, Row: 2, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/670ea1adf0923f9bcdabf63e
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 140, Row: 29, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67a28513f6af5e52e47044a2
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 142, Row: 13, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/678683f15f5eedb9b59e2d34
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 134, Row: 3, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67b4f12d2f94efc810cece25
