Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 106, Row: 22, Price: $493.00, Est. Price: $493.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c00c842f94efc810127897?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 440, Row: A, Price: $493.00, Est. Price: $493.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3c1dec8018c76d916d5?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 135, Row: 14, Price: $495.00, Est. Price: $495.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3c2dec8018c76d937af?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 120, Row: 18, Price: $495.00, Est. Price: $495.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3bbdec8018c76d89b92?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 111, Row: 37, Price: $502.00, Est. Price: $502.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67acc1423e2207e70b7c666a?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 445, Row: D, Price: $504.00, Est. Price: $504.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c00c832f94efc810126e91?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 111, Row: 32, Price: $505.00, Est. Price: $505.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67bf63f72f94efc810af1427?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 119, Row: 17, Price: $507.00, Est. Price: $507.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67a373b2f6af5e52e40b0db6?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 132, Row: 23, Price: $515.00, Est. Price: $515.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c00c832f94efc810126ef8?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 134, Row: 17, Price: $520.00, Est. Price: $520.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c00c832f94efc810126e3d?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 131, Row: 34, Price: $525.00, Est. Price: $525.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c00c842f94efc810127860?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 127, Row: 23, Price: $526.00, Est. Price: $526.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67acc1423e2207e70b7c6674?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 128, Row: 39, Price: $536.00, Est. Price: $536.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c00c832f94efc810126e71?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 136, Row: 31, Price: $550.00, Est. Price: $550.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3b6dec8018c76d82e78?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 131, Row: 29, Price: $561.00, Est. Price: $561.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c00c832f94efc810126ee9?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 134, Row: 32, Price: $565.00, Est. Price: $565.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67a3756af6af5e52e433099e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 242, Row: 1, Price: $588.00, Est. Price: $588.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67bf63f42f94efc810ae8ae3?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
