Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 132, Row: 4, Price: $538.00, Est. Price: $538.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67a37b02f6af5e52e4ef7b4b?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 416, Row: 9, Price: $549.00, Est. Price: $549.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/6789cef85f5eedb9b5eb6805?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 440, Row: 9, Price: $549.00, Est. Price: $549.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/6789cef75f5eedb9b5eb4f7e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 417, Row: 19, Price: $549.00, Est. Price: $549.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/6789cef85f5eedb9b5eb67f9?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 439, Row: 19, Price: $549.00, Est. Price: $549.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/6789cef55f5eedb9b5eafd25?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 129, Row: 40, Price: $563.00, Est. Price: $563.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b772f94efc810fbc7ca?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 110, Row: 33, Price: $567.00, Est. Price: $567.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b772f94efc810fbc7fd?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 128, Row: 29, Price: $578.00, Est. Price: $578.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b782f94efc810fbe016?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 129, Row: 31, Price: $591.00, Est. Price: $591.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b782f94efc810fbdfb2?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 130, Row: 28, Price: $601.00, Est. Price: $601.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b772f94efc810fbc7a1?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
