Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 306, Row: 1, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67a67b333e2207e70b869971
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 323, Row: 36, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/6764fbc0b98988f2db84f230
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 305, Row: 40, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e45badd4811782d35f491a
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 137, Row: 39, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/6764fbc5b98988f2db85813a
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 104, Row: 39, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/6764fbc1b98988f2db850928
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 321, Row: 2, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/670ea147f0923f9bcda2ae1a
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 133, Row: 9, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/677b2531b98988f2db07faeb
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 143, Row: 12, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67896e705f5eedb9b5518154
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 107, Row: 39, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/6764fbc3b98988f2db85514c
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 103, Row: 14, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67ce4f81dec8018c7634ae46
