Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 300, Row: 12, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8892036530
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 14, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901030948
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 300, Row: 13, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8892036549
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 15, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901030996
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 300, Row: 14, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8892036564
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 16, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901031618
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 17, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901031645
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 300, Row: 15, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8892036578
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 300, Row: 16, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8892036597
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 18, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901031763
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 300, Row: 17, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8892036609
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 19, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901032178
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 20, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901032714
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 300, Row: 18, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8892036632
