Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 317, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e3202ed4811782d3315049
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 318, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e32051d4811782d3357ac9
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 111, Row: 5, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/6704d95d1a2fe2590487e0e6
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 133, Row: 16, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/670ea10ff0923f9bcd9d3aa9
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 143, Row: 31, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/6764fbc1b98988f2db85081e
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 142, Row: 20, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e3202cd4811782d3311d16
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 106, Row: 28, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e3202ed4811782d3314e79
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 138, Row: 30, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e32052d4811782d335a38d
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 135, Row: 12, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67896e315f5eedb9b54aae9c
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 216, Row: 1, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/6704da451a2fe25904a2aa4b
