Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 309, Row: 11, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9113748534
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 309, Row: 17, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9112902468
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 323, Row: 9, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9112917144
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 323, Row: 10, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9089677796
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 323, Row: 12, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9113939645
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 325, Row: 8, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9025775414
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 325, Row: 10, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9113436233
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 326, Row: 8, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9025775416
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 326, Row: 9, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9025775419
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 326, Row: 10, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9112700272
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 326, Row: 11, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9112899093
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 326, Row: 17, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9112703341
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 327, Row: 9, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9025775454
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 327, Row: 10, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9112740892
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 313, Row: 5, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=8937043404
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 105, Row: 18, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9034268277
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 104, Row: 24, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9078319980
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 110, Row: 39, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9074264977
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 136, Row: 33, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=8937168797
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 313, Row: 1, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=8695970193
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 314, Row: 4, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9066013740
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 103, Row: 17, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9078319884
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 137, Row: 27, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9070981476
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 102, Row: 16, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9078319936
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 104, Row: 21, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9066013549
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 108, Row: 21, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9070727575
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 108, Row: 28, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9070981481
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 136, Row: 26, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9070722151
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 107, Row: 26, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9070981463
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 143, Row: 31, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9074264998
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 104, Row: 15, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9054521157
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 102, Row: 15, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9036174071
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 104, Row: 16, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9078319906
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 103, Row: 16, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9066012695
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 142, Row: 15, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9078319895
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 311, Row: 2, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=8936623176
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 143, Row: 12, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9070728308
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 142, Row: 14, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9078319830
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 312, Row: 10, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9025774022
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 312, Row: 11, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9025774028
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 327, Row: 1, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9025775428
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 109, Row: 31, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9097025284
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 321, Row: 9, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=8829705242
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 322, Row: 9, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9025774308
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 322, Row: 10, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9025774305
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 316, Row: 10, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9085121395
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 316, Row: 11, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=8934895536
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 319, Row: 11, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9025774264
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 310, Row: 1, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=8936623138
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 314, Row: 1, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9070726803
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 111, Row: 29, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9085974223
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 321, Row: 1, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=8936803135
