Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 137, Row: 39, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/6764fc78b98988f2db97e526
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 310, Row: 3, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/670ea163f0923f9bcda58aa6
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 139, Row: 31, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67a67f463e2207e70b00a66b
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 142, Row: 21, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e9bb90d4811782d308264a
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 136, Row: 37, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67a67f553e2207e70b0396f1
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 317, Row: 6, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67a67f593e2207e70b040847
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 319, Row: 32, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e45e61d4811782d3b2c040
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 320, Row: 32, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e45e8cd4811782d3b8a26e
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 318, Row: 32, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e45e64d4811782d3b36d92
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 314, Row: 32, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e45e89d4811782d3b83a53
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 212, Row: 3, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e15d39d4811782d3eb1fab
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 111, Row: 11, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67b4e8ba2f94efc810e11cd4
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 105, Row: 18, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e15d3dd4811782d3eb680a
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 206, Row: 1, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e15d37d4811782d3eafe1c
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 215, Row: 4, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e15d3dd4811782d3eb6ea2
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 133, Row: 9, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67b4ea3e2f94efc8100a4242
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 142, Row: 26, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67a67f433e2207e70b003c0c
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 139, Row: 17, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/670ea166f0923f9bcda5c99b
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 107, Row: 29, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67896e485f5eedb9b54d16cb
