Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 102, Row: 2, Price: $158, Est. Price: $205.4, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=8373487916
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 114, Row: 3, Price: $158, Est. Price: $205.4, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=8454801934
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 102, Row: 10, Price: $160, Est. Price: $208, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9096915297
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 101, Row: 3, Price: $167, Est. Price: $217.1, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=8933383237
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 115, Row: 27, Price: $175, Est. Price: $227.5, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9120452273
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 116, Row: 27, Price: $175, Est. Price: $227.5, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9120452275
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 124, Row: 28, Price: $175, Est. Price: $227.5, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9120451762
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 116, Row: 12, Price: $177, Est. Price: $230.1, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9047561604
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 124, Row: 12, Price: $177, Est. Price: $230.1, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9047561710
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 115, Row: 12, Price: $178, Est. Price: $231.4, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9047561813
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 114, Row: 3, Price: $180, Est. Price: $234, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=8531597995
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 114, Row: 10, Price: $181, Est. Price: $235.3, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9115904030
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 102, Row: 1, Price: $184, Est. Price: $239.20000000000002, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=8933377791
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 101, Row: 14, Price: $185, Est. Price: $240.5, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9096401623
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 115, Row: 17, Price: $185, Est. Price: $240.5, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9104691771
