Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 326, Row: 11, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911003118
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 326, Row: 12, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911003133
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 326, Row: 13, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911003146
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 326, Row: 14, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911003160
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 326, Row: 15, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911003178
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 326, Row: 16, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911003200
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 326, Row: 17, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911003223
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 326, Row: 18, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911003238
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 327, Row: 9, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911003491
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 326, Row: 19, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911003262
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 326, Row: 20, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911003293
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 326, Row: 21, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911003354
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 326, Row: 22, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911003384
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 326, Row: 23, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911003421
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 326, Row: 24, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911003462
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 134, Row: 3, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8533786264
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 111, Row: 5, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8533780676
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 143, Row: 11, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936623163
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 143, Row: 12, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936892181
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 318, Row: 5, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8937169033
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 108, Row: 21, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936622497
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 108, Row: 22, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936623278
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 143, Row: 31, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8655258925
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 204, Row: 1, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8533778290
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 311, Row: 1, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936710230
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 216, Row: 1, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8533778359
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 313, Row: 1, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8766782624
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 215, Row: 4, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=9034273321
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 138, Row: 25, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8510877625
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 111, Row: 2, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8533779489
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 112, Row: 9, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8533789908
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 321, Row: 1, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936802247
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 312, Row: 10, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8846652854
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 316, Row: 10, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8846629881
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 314, Row: 16, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8833245703
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 135, Row: 28, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8937129150
