Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 138, Row: 27, Price: $83.00, Est. Price: $83.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e3204bd4811782d334b802
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 144, Row: 16, Price: $83.00, Est. Price: $83.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e9e344d4811782d33f66c3
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 142, Row: 25, Price: $83.00, Est. Price: $83.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32025d4811782d3306b01
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 139, Row: 28, Price: $83.00, Est. Price: $83.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67ec8852d4811782d3086b19
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 143, Row: 31, Price: $93.00, Est. Price: $93.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/6764fc75b98988f2db97a81f
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 102, Row: 39, Price: $93.00, Est. Price: $93.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/6764fc75b98988f2db97a959
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 138, Row: 38, Price: $94.00, Est. Price: $94.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e45b88d4811782d35c6a95
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 142, Row: 38, Price: $94.00, Est. Price: $94.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e45ba3d4811782d35e9c70
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 139, Row: 39, Price: $94.00, Est. Price: $94.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e45b90d4811782d35cfc54
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 106, Row: 39, Price: $94.00, Est. Price: $94.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e45b95d4811782d35d6f04
