Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 215, Row: 4, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e15d3dd4811782d3eb6869
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 136, Row: 29, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e32025d4811782d3307505
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 143, Row: 16, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e32027d4811782d330a15b
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 106, Row: 29, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e3202ad4811782d330ecd3
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 142, Row: 31, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e32031d4811782d3319f4f
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 144, Row: 15, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e32044d4811782d333b37f
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 138, Row: 27, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e44e10d4811782d37554a7
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 103, Row: 19, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67eee69f0b271341d150ca5c
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 139, Row: 21, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67efea340b271341d15784ea
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 133, Row: 25, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67a6519e3e2207e70bcedb39
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 204, Row: 1, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/677b2765b98988f2db394189
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 216, Row: 1, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/677b2793b98988f2db3c58ae
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 110, Row: 8, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e15d3cd4811782d3eb4d0d
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 107, Row: 39, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/6764fad0b98988f2db638e32
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 111, Row: 2, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/677b24cfb98988f2db0180d3
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 133, Row: 12, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67896fca5f5eedb9b5791b91
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 205, Row: 2, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e15d3dd4811782d3eb6cfb
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 110, Row: 39, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/6764faceb98988f2db636424
