Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 144, Row: 11, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9044111499
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 140, Row: 11, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9023527840
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 313, Row: 8, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8936932123
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 322, Row: 11, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8829680452
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 324, Row: 2, Price: $48, Est. Price: $76.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8936802373
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 314, Row: 10, Price: $48, Est. Price: $76.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9018147310
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 325, Row: 7, Price: $49, Est. Price: $78.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8937203254
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 327, Row: 7, Price: $49, Est. Price: $78.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8937202385
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 101, Row: 22, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9078212474
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 111, Row: 11, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8793689773
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 102, Row: 19, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9091321284
