Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 305, Row: 17, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341454
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 305, Row: 18, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341466
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 305, Row: 19, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341483
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 305, Row: 20, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341501
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 305, Row: 21, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341526
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 305, Row: 22, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341536
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 305, Row: 23, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341544
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 305, Row: 24, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341553
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 137, Row: 39, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8655260122
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 107, Row: 39, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8655260084
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 312, Row: 14, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8941102547
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 319, Row: 9, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8936807908
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 311, Row: 32, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9010212471
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 313, Row: 32, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9010212505
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 320, Row: 32, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9010212571
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 321, Row: 32, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9010212570
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 322, Row: 32, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9010212588
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 314, Row: 32, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9010212516
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 317, Row: 32, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9010212551
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 321, Row: 9, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8936887437
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 133, Row: 13, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8024664050
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 103, Row: 14, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8793918171
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 104, Row: 14, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8870317925
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 141, Row: 11, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8793912168
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 144, Row: 11, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8793918434
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 140, Row: 11, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9036347054
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 310, Row: 11, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8894116311
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 313, Row: 11, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8829736577
