Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 316, Row: 14, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e3d25dd4811782d30deb87
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 322, Row: 12, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e3d26bd4811782d30f41b1
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 111, Row: 6, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/677b24cfb98988f2db01818d
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 215, Row: 4, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e15d37d4811782d3eb03a1
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 134, Row: 3, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67b4c3c42f94efc810b4fd64
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 134, Row: 28, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67a67fe93e2207e70b1364fa
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 133, Row: 25, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67a67fe43e2207e70b1306f2
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 321, Row: 2, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/670ea150f0923f9bcda36c61
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 313, Row: 1, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67a67f593e2207e70b040839
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 319, Row: 32, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e45e73d4811782d3b5f0e1
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 320, Row: 32, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e45e95d4811782d3b9e1c6
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 318, Row: 32, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e45e7ed4811782d3b6d8cb
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 315, Row: 32, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e45e75d4811782d3b62cf6
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 314, Row: 32, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e45e63d4811782d3b339bd
