Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 212, Row: 3, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8840693968
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 222, Row: 12, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8979425664
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 205, Row: 6, Price: $82, Est. Price: $118.89999999999999, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8894421107
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 232, Row: 8, Price: $82, Est. Price: $118.89999999999999, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=9054241855
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 219, Row: 12, Price: $82, Est. Price: $118.89999999999999, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998010646
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 203, Row: 7, Price: $82, Est. Price: $118.89999999999999, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8842090842
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 213, Row: 7, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8847821331
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 214, Row: 2, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8837031523
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 214, Row: 3, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8837031556
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 214, Row: 6, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8835634832
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 215, Row: 2, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8837052107
