Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 140, Row: 14, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9090739979
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 314, Row: 1, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8936800411
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 315, Row: 1, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8937491715
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 106, Row: 29, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8830335796
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 142, Row: 17, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9081734217
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 134, Row: 28, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8937084805
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 137, Row: 27, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9025220246
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 140, Row: 16, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9047497367
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 140, Row: 17, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9112208170
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 140, Row: 18, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9025220377
