Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 321, Row: 2, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/670ea146f0923f9bcda28765
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 108, Row: 28, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67896e2b5f5eedb9b549ecce
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 133, Row: 9, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/677b2531b98988f2db07fa8b
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 108, Row: 21, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67896e245f5eedb9b5493dad
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 143, Row: 11, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67a67ac83e2207e70b7c7a85
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 315, Row: 13, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e32025d4811782d3306b73
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 316, Row: 14, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e32027d4811782d330aa3d
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 312, Row: 13, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e3202ed4811782d33146c8
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 314, Row: 13, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e32042d4811782d3337e5b
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 313, Row: 13, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e32045d4811782d333efe2
