Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 325, Row: 5, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9055200449
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 325, Row: 6, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023579828
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 325, Row: 7, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023579808
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 327, Row: 4, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023581682
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 327, Row: 5, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023581681
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 327, Row: 6, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023581677
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 327, Row: 7, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9114170989
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 326, Row: 1, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=8949919540
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 324, Row: 2, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9108733174
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 313, Row: 8, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=8990517840
