Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 217, Row: 8, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8997123311
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 224, Row: 10, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9097036773
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 224, Row: 11, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9104753346
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 224, Row: 11, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9126676830
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 212, Row: 2, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9036836994
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 226, Row: 6, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9082116833
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 228, Row: 4, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9126219604
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 228, Row: 6, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9105110918
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 201, Row: 10, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9042167353
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 229, Row: 11, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9125892586
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 229, Row: 12, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9082113456
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 230, Row: 8, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9126676843
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 230, Row: 13, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9126677016
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 230, Row: 14, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9119516980
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 219, Row: 13, Price: $72, Est. Price: $104.39999999999999, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9041937104
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 204, Row: 4, Price: $72, Est. Price: $104.39999999999999, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9000487356
