Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 105, Row: 18, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e15d39d4811782d3eb1ba1
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 326, Row: 12, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e32027d4811782d330a094
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 323, Row: 12, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e32027d4811782d330a749
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 327, Row: 10, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e3202bd4811782d330fcd3
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 309, Row: 11, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e32038d4811782d3322f9e
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 324, Row: 12, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e3203dd4811782d332b397
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 308, Row: 11, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e3203dd4811782d332c2b8
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 325, Row: 10, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e32056d4811782d336130a
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 327, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67ef461b0b271341d16f3782
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 308, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67ef47300b271341d194732a
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 136, Row: 26, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/670ea10df0923f9bcd9d259e
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 107, Row: 39, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/6764fbc0b98988f2db84f0df
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 104, Row: 39, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/6764fbc2b98988f2db851ed4
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 111, Row: 10, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/6704d8a21a2fe2590477777c
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 315, Row: 1, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/670ea106f0923f9bcd9cb502
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 108, Row: 20, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67896e395f5eedb9b54b9ac9
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 143, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67896e805f5eedb9b553c90d
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 319, Row: 1, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/670ea106f0923f9bcd9cb4f3
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 137, Row: 39, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/6764fbc4b98988f2db856f5e
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 319, Row: 32, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/6764fbc1b98988f2db8507e3
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 102, Row: 39, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/6764fbc3b98988f2db8552d9
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 322, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e32027d4811782d330a3b9
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 314, Row: 12, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e32033d4811782d331c4f1
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 318, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e3203dd4811782d332bb91
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 317, Row: 12, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e3204cd4811782d334f979
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 111, Row: 5, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/6704d95d1a2fe2590487e0de
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 133, Row: 16, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/670ea109f0923f9bcd9ce51c
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 143, Row: 31, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/6764fbc2b98988f2db851f39
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 215, Row: 4, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e15d32d4811782d3eaa87b
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 139, Row: 28, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e32025d4811782d33065af
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 106, Row: 29, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e3202cd4811782d3311c98
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 144, Row: 15, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e32053d4811782d335c5d0
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 138, Row: 27, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e34cf5d4811782d3fe32b0
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 204, Row: 1, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/6704da171a2fe259049d06d6
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 135, Row: 12, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67896e2d5f5eedb9b54a2a88
