Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 136, Row: 31, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67a67fe23e2207e70b12adcb
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 105, Row: 18, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e15d37d4811782d3eb0413
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 310, Row: 3, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/670ea14af0923f9bcda2d65f
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 308, Row: 40, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e45e87d4811782d3b7df2c
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 305, Row: 40, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e45e44d4811782d3ae18da
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 111, Row: 10, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/677b24cfb98988f2db01816c
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 107, Row: 29, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67896e2e5f5eedb9b54a5a9f
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 102, Row: 17, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67a67fdf3e2207e70b122237
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 319, Row: 4, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67a67fe73e2207e70b135239
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 311, Row: 2, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67896e2f5f5eedb9b54a7200
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 215, Row: 4, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e15d3dd4811782d3eb6f4b
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 143, Row: 12, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67896e735f5eedb9b551d60e
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 320, Row: 11, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6c8d4811782d3751c7f
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 315, Row: 11, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6e3d4811782d3780f66
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 312, Row: 11, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6dfd4811782d377a3f1
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 317, Row: 11, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6c8d4811782d3751d3e
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 321, Row: 11, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6e4d4811782d378269d
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 310, Row: 10, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6d8d4811782d37698b3
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 316, Row: 12, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6e1d4811782d377db10
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 322, Row: 10, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6cbd4811782d37579a5
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 205, Row: 2, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e15d3dd4811782d3eb6e05
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 321, Row: 2, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/670ea13ff0923f9bcda1f833
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 217, Row: 2, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e15d3dd4811782d3eb6a06
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 111, Row: 5, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/677b24cfb98988f2db018138
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 138, Row: 30, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6d8d4811782d3769a0e
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 142, Row: 21, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6ddd4811782d377636b
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 106, Row: 28, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6cdd4811782d375adb2
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 141, Row: 20, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6e3d4811782d3781027
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 104, Row: 21, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6c8d4811782d3751df4
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 133, Row: 25, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67a67ff23e2207e70b14001b
