Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 24, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969569
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 310, Row: 3, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8936801977
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 324, Row: 1, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8936805979
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 111, Row: 10, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8981079095
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 110, Row: 12, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8794351657
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 315, Row: 12, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8829890814
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 139, Row: 31, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8937130396
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 4, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8833287559
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 311, Row: 2, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8936887312
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 326, Row: 1, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8936888812
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 320, Row: 32, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=9006099351
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 314, Row: 32, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=9006099148
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 107, Row: 29, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8936805128
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 317, Row: 32, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=9006099251
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 136, Row: 23, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8825011953
