Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 323, Row: 32, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67ef47190b271341d19140b7
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 137, Row: 29, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/670ea13ef0923f9bcda1e1bb
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 315, Row: 32, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/6764fbc1b98988f2db8507f3
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 102, Row: 39, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/6764fbc1b98988f2db8508c1
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 104, Row: 39, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/6764fbc1b98988f2db85094f
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 108, Row: 33, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67a67a4e3e2207e70b7081e4
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 107, Row: 26, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67896e265f5eedb9b5497732
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 311, Row: 2, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67896e295f5eedb9b549bb7d
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 108, Row: 28, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67896e3a5f5eedb9b54bbd4e
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 103, Row: 14, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67a67a573e2207e70b71b0ae
