Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 308, Row: 1, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8910703973
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 321, Row: 11, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8829632761
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 320, Row: 31, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=9106831431
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 324, Row: 6, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=9106804584
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 325, Row: 5, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=9106505950
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 323, Row: 32, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=9006123219
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 305, Row: 40, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=9006121548
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 310, Row: 10, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8947982517
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 310, Row: 3, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8936800598
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 326, Row: 1, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8936805311
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 321, Row: 9, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8969550077
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 311, Row: 19, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8937202898
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 324, Row: 2, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8936803525
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 324, Row: 3, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8936805865
