Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 313, Row: 32, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e45e92d4811782d3b96bca
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 312, Row: 32, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e45e46d4811782d3ae5836
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 317, Row: 32, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e853f7d4811782d3343da2
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 105, Row: 18, Price: $80.00, Est. Price: $80.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e15d32d4811782d3eaa82c
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 143, Row: 16, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c5d4811782d3dd669d
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 138, Row: 27, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c2d4811782d3dd162e
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 139, Row: 22, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e9d619d4811782d3d34d13
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 106, Row: 32, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c1d4811782d3dcef29
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 137, Row: 32, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c7d4811782d3dd90ea
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 141, Row: 25, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428bfd4811782d3dcc4d8
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 136, Row: 29, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c8d4811782d3ddb5fb
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 108, Row: 29, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428cad4811782d3ddd8d0
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 103, Row: 20, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c8d4811782d3ddb669
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 105, Row: 25, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428bdd4811782d3dca723
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 102, Row: 21, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428bfd4811782d3dcc5e4
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 104, Row: 19, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428cad4811782d3ddd618
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 144, Row: 15, Price: $83.00, Est. Price: $83.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428cbd4811782d3ddfb92
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 142, Row: 25, Price: $83.00, Est. Price: $83.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428cad4811782d3ddd820
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 107, Row: 30, Price: $83.00, Est. Price: $83.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c1d4811782d3dcf0f0
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 110, Row: 39, Price: $84.00, Est. Price: $84.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/6764fc79b98988f2db980649
