Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 102, Row: 17, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9032522140
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 137, Row: 28, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9025307657
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 137, Row: 29, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9025307661
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 137, Row: 30, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9025307667
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 108, Row: 26, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9025305567
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 108, Row: 28, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9100486338
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 108, Row: 29, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9025305570
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 137, Row: 32, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9109995708
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 138, Row: 26, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9111279636
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 136, Row: 28, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9025307647
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 136, Row: 29, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9025307652
