Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 22, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8921435698
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 23, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8921435701
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 24, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8921435629
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 25, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8921435689
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 133, Row: 9, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8533646704
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 310, Row: 3, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936709589
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 137, Row: 33, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8937234402
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 105, Row: 18, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=9034268431
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 309, Row: 10, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8829880462
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 327, Row: 9, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8829614711
