Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 323, Row: 13, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8916248886
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 323, Row: 14, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8916248910
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 323, Row: 15, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8916248917
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 305, Row: 9, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8904762080
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 143, Row: 31, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8655257731
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 327, Row: 9, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8846643957
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 327, Row: 23, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8919223798
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 134, Row: 3, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8858925914
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 111, Row: 5, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8533780664
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 204, Row: 1, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8533778244
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 311, Row: 2, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936800650
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 215, Row: 4, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=9034273045
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 111, Row: 2, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8533779468
