Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 142, Row: 15, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8937077045
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 105, Row: 18, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8960177854
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 133, Row: 9, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9055156238
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 321, Row: 1, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936622037
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 103, Row: 14, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936622124
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 103, Row: 15, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8998545354
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 142, Row: 12, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936621699
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 142, Row: 14, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936622291
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 107, Row: 26, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936622094
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 314, Row: 1, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936621990
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 315, Row: 1, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936621518
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 142, Row: 11, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9086059808
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 143, Row: 12, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936891996
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 108, Row: 20, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936622323
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 108, Row: 21, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936623717
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 111, Row: 7, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8806879803
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 317, Row: 10, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9098694912
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 121, Row: 22, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9107811928
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 123, Row: 37, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8879032636
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 310, Row: 1, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936622429
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 311, Row: 1, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936621433
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 112, Row: 7, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9113625878
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 131, Row: 21, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9086461564
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 111, Row: 6, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8058161424
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 134, Row: 3, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8058168040
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 327, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9023944626
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 110, Row: 7, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9042710347
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 106, Row: 26, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9100269020
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 135, Row: 12, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936706886
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 313, Row: 1, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8695970123
